	Forage	Garden Crop harvest	Damage-causing animals outside the park	Fuzzy boundaries	Cattle in household	Small stock	Available cash	Food in household	Donor food 	Cattle deaths	Cattle theft	Total harvest	Fees	Poaching	Use of Zhombwe tubers	External inputs	State land-use institutions	Upland Crop harvest	Vlei Crop harvest	Availability of labor	Drought
Forage	0	0	0	0	0	-0.25	0	0	0	-0.75	0	0	0	-0.75	0	0	0	0	0	0	0
Garden Crop harvest	0	0	0	0	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0
Damage-causing animals outside the park	0	0	0	0	-0.25	0	0	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0
Fuzzy boundaries	0	0	0	0	0	0	0.25	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0	-0.25	0
Cattle in household	-0.25	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	-0.25	0	0	0	0	0
Small stock	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Available cash	0	0	0	0	0.25	0.25	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
Food in household	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Donor food 	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0
Cattle deaths	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cattle theft	0	0	0	0	-0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Total harvest	0.25	0	0	0	0.25	0	0.5	1	-1	0	-0.25	0	0	-0.5	0	0	0	0	0	0.25	0
Fees	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poaching	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Use of Zhombwe tubers	0.5	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
External inputs	0	0	0	0	0	0	-0.75	0	0	0	0	0	0	0	0	0	0	0.75	0.5	0	0
State land-use institutions	0	0	0	0	0.25	0	0	0	0	0	-0.25	0	-0.25	-0.25	0	0.75	0	0	0	0.5	0
Upland Crop harvest	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0
Vlei Crop harvest	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0
Availability of labor	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0
Drought	-0.75	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	1	-0.25	0	0
