	Executional cost	Cost of operating decisions	Capacity utilisation	Production infrastructure expenses	Productivity	Employee salaries	R & D Expenses	Product Quality	Distribution channel expenses	Asset specificity	Customer demands	Product demand annual spread	Off-season products demands
Executional cost	0	0	0	0	0	0	0	0	0	0	0	0	0
Cost of operating decisions	0.85	0	0	0	0	0	0.2	0	0	0	0	0	0
Capacity utilisation	0.35	0	0	0	0	0	0	0	0	0	0	0	0
Production infrastructure expenses	0	0.15	0	0	0	0	0	0	0	0	0	0	0
Productivity	0	0.1	0	0	0	0	0	0	0	0	0	0	0
Employee salaries	0	0.15	0	0	0	0	0	0	0	0	0	0	0
R & D Expenses	0	0	0	0	0	0	0	0.35	0	0	0	0	0
Product Quality	0	0.43	0	0	0	0	0	0	0	0	0	0	0
Distribution channel expenses	0	0.15	0	0	0	0	0	0	0	0	0	0	0
Asset specificity	0	0	0.28	0	0	0	0	0	0	0	0	0	0
Customer demands	0	0	0.28	0	0	0	0	0	0	0	0	0	0
Product demand annual spread	0	0	0.28	0	0	0	0	0	-0.5	0	0	0	0
Off-season products demands	0	0	0.28	0	0	0	0	0	0	0	0	-0.5	0
