	U.S. Interests	Soviet interests	Cuban interests	Interests of peoples of Latin America	War between U.S.S.R. and U.S.A.	U.S. surrender or submission	U.S. opposition to threat from Cuban soil	Security of United States	Security of Western hemisphere	Peace and security of world community of nations	Security of Soviet technicians in Cuba	Security of Cuban people	Freedom in Cuba	Well-being of Cuban people	Security of Latin American peoples	Nonaction on part of United States	Threat from Soviet missiles inside U.S.S.R. and in submarines	Possible troubles, dangers, and sacrifices on part of American people	Insincerity of Soviet leaders	Actual firing of nuclear weapons	Legal and traditional protection of Western hemisphere	Elimination of nuclear weapons from Western hemisphere	Destructiveness of nuclear weapons and swiftness of ballistic missiles	Nondeployment of Soviet nuclear missiles outside U.S.S.R.	Withdrawal of nuclear missiles from Cuban territory	U.S. readiness to present large list of proposals	Arms race	Nuclear threat to Cuba	Isolation of Cuba from Western hemisphere	Nuclear threat to Latin America	Absence of threat to vital interests of U. S.	U.N. control	Atmosphere of intimidation in American-Soviet relations	U.S.S.R. abandoning course of world domination	Joining the efforts of United States and U.S.S.R.	 U.S. military strike against Cuba	Foreign (Soviet) domination in Cuba	U.S. countermeasures	Any hostile move on part of U.S.S.R. anywhere, particularly in West Berlin	Betrayal of Cuban leaders	Cuban people's attachment to fatherland and aspiration for liberty and justice for all	Risk of worldwide nuclear war	Additional necessary countermeasures	Sudden, clandestine decisions on part of U.S.S.R.	Status quo	Restraint on part of U. S.	Urgent transformation of Cuba into an important military base for U.S.S.R.	Restraint on part of U.S.S.R.	Traditions and institutions of U.S.	U.S. international commitments	Special and historical relations of Caribbean area to United States and nations of Western hemisphere	Secret, swift, and extraordinary character of Soviet military build-up in Cuba	Soviet military build-up in Cuba
U.S. Interests	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Soviet interests	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cuban interests	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Interests of peoples of Latin America	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
War between U.S.S.R. and U.S.A.	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U.S. surrender or submission	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U.S. opposition to threat from Cuban soil	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Security of United States	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Security of Western hemisphere	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peace and security of world community of nations	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
